  Steps: 0000M | FPS: 123672 | Reward: 150.34 | Latent MSE: 0.2042 | Best: 150.38
  Steps: 0000M | FPS: 123744 | Reward: 150.39 | Latent MSE: 0.2036 | Best: 150.39
  Steps: 0000M | FPS: 123992 | Reward: 150.34 | Latent MSE: 0.2029 | Best: 150.39
  Steps: 0000M | FPS: 124227 | Reward: 150.57 | Latent MSE: 0.2023 | Best: 150.57
  Steps: 0000M | FPS: 124493 | Reward: 150.82 | Latent MSE: 0.2017 | Best: 150.82
  Steps: 0000M | FPS: 124800 | Reward: 150.74 | Latent MSE: 0.2011 | Best: 150.82
  Steps: 0000M | FPS: 124936 | Reward: 150.86 | Latent MSE: 0.2005 | Best: 150.86
  Steps: 0000M | FPS: 125146 | Reward: 151.35 | Latent MSE: 0.1999 | Best: 151.35
  Steps: 0000M | FPS: 125404 | Reward: 151.53 | Latent MSE: 0.1993 | Best: 151.53
  Steps: 0000M | FPS: 125409 | Reward: 152.37 | Latent MSE: 0.1986 | Best: 152.37
  Steps: 0000M | FPS: 125590 | Reward: 153.70 | Latent MSE: 0.1980 | Best: 153.70
  Steps: 0000M | FPS: 125896 | Reward: 153.65 | Latent MSE: 0.1974 | Best: 153.70
  Steps: 0000M | FPS: 126174 | Reward: 153.72 | Latent MSE: 0.1968 | Best: 153.72
  Steps: 0000M | FPS: 126427 | Reward: 154.60 | Latent MSE: 0.1962 | Best: 154.60
  Steps: 0000M | FPS: 126657 | Reward: 154.89 | Latent MSE: 0.1957 | Best: 154.89
  Steps: 0000M | FPS: 126842 | Reward: 155.15 | Latent MSE: 0.1951 | Best: 155.15
  Steps: 0000M | FPS: 126930 | Reward: 155.07 | Latent MSE: 0.1945 | Best: 155.15
  Steps: 0000M | FPS: 127134 | Reward: 156.60 | Latent MSE: 0.1939 | Best: 156.60
  Steps: 0000M | FPS: 127408 | Reward: 157.32 | Latent MSE: 0.1934 | Best: 157.32
  Steps: 0000M | FPS: 127692 | Reward: 157.20 | Latent MSE: 0.1928 | Best: 157.32
  Steps: 0000M | FPS: 127953 | Reward: 157.69 | Latent MSE: 0.1923 | Best: 157.69
  Steps: 0000M | FPS: 128231 | Reward: 157.59 | Latent MSE: 0.1917 | Best: 157.69
  Steps: 0000M | FPS: 128401 | Reward: 157.83 | Latent MSE: 0.1912 | Best: 157.83
  Steps: 0000M | FPS: 128652 | Reward: 157.78 | Latent MSE: 0.1907 | Best: 157.83
  Steps: 0000M | FPS: 128733 | Reward: 157.90 | Latent MSE: 0.1901 | Best: 157.90
  Steps: 0000M | FPS: 128977 | Reward: 157.30 | Latent MSE: 0.1896 | Best: 157.90
  Steps: 0000M | FPS: 129166 | Reward: 158.64 | Latent MSE: 0.1891 | Best: 158.64
  Steps: 0000M | FPS: 129165 | Reward: 159.84 | Latent MSE: 0.1886 | Best: 159.84
  Steps: 0000M | FPS: 129303 | Reward: 160.23 | Latent MSE: 0.1881 | Best: 160.23
  Steps: 0000M | FPS: 129395 | Reward: 160.42 | Latent MSE: 0.1876 | Best: 160.42
  Steps: 0000M | FPS: 129527 | Reward: 161.48 | Latent MSE: 0.1871 | Best: 161.48
  Steps: 0000M | FPS: 129592 | Reward: 161.59 | Latent MSE: 0.1866 | Best: 161.59
  Steps: 0000M | FPS: 129760 | Reward: 162.79 | Latent MSE: 0.1861 | Best: 162.79
  Steps: 0000M | FPS: 129956 | Reward: 163.16 | Latent MSE: 0.1856 | Best: 163.16
  Steps: 0000M | FPS: 130154 | Reward: 163.69 | Latent MSE: 0.1852 | Best: 163.69
  Steps: 0000M | FPS: 130305 | Reward: 163.88 | Latent MSE: 0.1847 | Best: 163.88
  Steps: 0000M | FPS: 130210 | Reward: 163.95 | Latent MSE: 0.1842 | Best: 163.95
